"","minpts","eps","eps2","id","f_measure"
"514",20,1.75,90,"ALD_1",0.663398692810457
"515",25,1.75,90,"ALD_1",0.61878453038674
"516",30,1.75,90,"ALD_1",0.522772277227723
"517",5,2.5,90,"ALD_1",0.612021857923497
"518",10,2.5,90,"ALD_1",0.695175438596491
"519",15,2.5,90,"ALD_1",0.752795031055901
"520",20,2.5,90,"ALD_1",0.635958395245171
"521",25,2.5,90,"ALD_1",0.641148325358852
"522",30,2.5,90,"ALD_1",0.546511627906977
"523",5,3.25,90,"ALD_1",0.574557708508846
"524",10,3.25,90,"ALD_1",0.671328671328671
"525",15,3.25,90,"ALD_1",0.745958429561201
"526",20,3.25,90,"ALD_1",0.778588807785888
"527",25,3.25,90,"ALD_1",0.776859504132231
"528",30,3.25,90,"ALD_1",0.595744680851064
"529",5,4,90,"ALD_1",0.557645134914146
"530",10,4,90,"ALD_1",0.650579150579151
"531",15,4,90,"ALD_1",0.685950413223141
"532",20,4,90,"ALD_1",0.733183856502242
"533",25,4,90,"ALD_1",0.776556776556777
"534",30,4,90,"ALD_1",0.749318801089918
"535",5,4.75,90,"ALD_1",0.549114331723027
"536",10,4.75,90,"ALD_1",0.62962962962963
"537",15,4.75,90,"ALD_1",0.659470068694799
"538",20,4.75,90,"ALD_1",0.710498409331919
"539",25,4.75,90,"ALD_1",0.742596810933941
"540",30,4.75,90,"ALD_1",0.773809523809524
"541",5,1,120,"ALD_1",0.696406443618339
"542",10,1,120,"ALD_1",0.692913385826772
"543",15,1,120,"ALD_1",0.630797773654917
"544",20,1,120,"ALD_1",0.547244094488189
"545",25,1,120,"ALD_1",0.390350877192982
"546",30,1,120,"ALD_1",0.350467289719626
"547",5,1.75,120,"ALD_1",0.66734486266531
"548",10,1.75,120,"ALD_1",0.713021491782554
"549",15,1.75,120,"ALD_1",0.689556509298999
"550",20,1.75,120,"ALD_1",0.663398692810457
"551",25,1.75,120,"ALD_1",0.61878453038674
"552",30,1.75,120,"ALD_1",0.522772277227723
"553",5,2.5,120,"ALD_1",0.612021857923497
"554",10,2.5,120,"ALD_1",0.6941431670282
"555",15,2.5,120,"ALD_1",0.752795031055901
"556",20,2.5,120,"ALD_1",0.635958395245171
"557",25,2.5,120,"ALD_1",0.641148325358852
"558",30,2.5,120,"ALD_1",0.546511627906977
"559",5,3.25,120,"ALD_1",0.574557708508846
"560",10,3.25,120,"ALD_1",0.671328671328671
"561",15,3.25,120,"ALD_1",0.739977090492554
"562",20,3.25,120,"ALD_1",0.774038461538462
"563",25,3.25,120,"ALD_1",0.78021978021978
"564",30,3.25,120,"ALD_1",0.595744680851064
"565",5,4,120,"ALD_1",0.557645134914146
"566",10,4,120,"ALD_1",0.650579150579151
"567",15,4,120,"ALD_1",0.685950413223141
"568",20,4,120,"ALD_1",0.731543624161074
"569",25,4,120,"ALD_1",0.772563176895307
"570",30,4,120,"ALD_1",0.80506329113924
"571",5,4.75,120,"ALD_1",0.549114331723027
"572",10,4.75,120,"ALD_1",0.62962962962963
"573",15,4.75,120,"ALD_1",0.659470068694799
"574",20,4.75,120,"ALD_1",0.710498409331919
"575",25,4.75,120,"ALD_1",0.740068104426788
"576",30,4.75,120,"ALD_1",0.768867924528302
"577",5,1,150,"ALD_1",0.696406443618339
"578",10,1,150,"ALD_1",0.692913385826772
"579",15,1,150,"ALD_1",0.630797773654917
"580",20,1,150,"ALD_1",0.547244094488189
"581",25,1,150,"ALD_1",0.390350877192982
"582",30,1,150,"ALD_1",0.350467289719626
"583",5,1.75,150,"ALD_1",0.66734486266531
"584",10,1.75,150,"ALD_1",0.713021491782554
"585",15,1.75,150,"ALD_1",0.689556509298999
"586",20,1.75,150,"ALD_1",0.663398692810457
"587",25,1.75,150,"ALD_1",0.61878453038674
"588",30,1.75,150,"ALD_1",0.522772277227723
"589",5,2.5,150,"ALD_1",0.612021857923497
"590",10,2.5,150,"ALD_1",0.6941431670282
"591",15,2.5,150,"ALD_1",0.752795031055901
"592",20,2.5,150,"ALD_1",0.635958395245171
"593",25,2.5,150,"ALD_1",0.641148325358852
"594",30,2.5,150,"ALD_1",0.546511627906977
"595",5,3.25,150,"ALD_1",0.574557708508846
"596",10,3.25,150,"ALD_1",0.671328671328671
"597",15,3.25,150,"ALD_1",0.739977090492554
